Z,N,symb,radius, unc, energy, unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc, decay, decay %, unc, decay, decay %, unc,isospin,magn. dipole, unc, elect. quad , unc,Qb-,unc,Qb- n,unc,Qa, unc, Qec, unc,Sn,unc, Sp,unc,Binding/A,unc,atomic mass, unc, mass excess,unc
13,18,Al,,,0, ,5/2(+), ,644,25,ms,0.64,0.02,B-,100, ,B-N,1.6, , , , , ,3.828, ,0.134, ,7998.33,2236,1410.94,224,-11857.83,4,-11828.555,4,7157.18,4,13355.86,4,8225.517,72,30983949.756,2400,-14950.706,2236,
13,20,Al,,,0, ,(5/2)+, ,41.7,2,ms,0.0417,0.0002,B-,100, ,B-N,8.5,0.7, , , , ,4.088, ,0.13, ,12016.945,7021,7508.99,7,-13602.29,10,-13459.677,8,5469.33,10,14957.45,8,8020.616,212,32990877.687,7500,-8497.380,6986,
13,22,Al,,,0, ,(5/2+), ,38.3,4,ms,0.0383,0.0004,B-,100, ,B-N,38,2,B-2N,0, , , , , , ,14167.729,36605,11661.81,16,-14894.68,16,-15863.512,270,5294.76,8,15836.05,30,7787.124,210,34999759.817,7900,-223.728,7359,
13,24,Al,,,0, , , ,10.7,13,ms,0.0107,0.0013,B-,100, ,B-N, , , , , , , , , , ,16381.075,213168,14174.37,194,-16395.46,485,-18401.911,722,4212.14,234,17859.56,713,7531.315,4871,37010531,193500,9809.563,180244,
13,26,Al,,,0, ,(5/2+), ,7.6,16,ms,0.0076,0.0016,B-,100, ,B-2N, , ,B-N, , , , , , , ,18330,422,16749,413,-20006,780,-21625.0,651,3631,548,20713,642,7281,10,39022169,429,20650,400,
13,28,Al,,,0, , , , , , , , ,B-,100, ,B-N, , , , , , , , , , ,21300,747,19919,608,-22539,850,,,2241,640,22219,707,7008,12,41035878,537,33420,500,
13,30,Al,,,0, , ,GT,170, ,ns,0.00000017, ,B-2N, , ,B-N, , ,B-, , , , , , , ,23919,998,22479,944,,,,,1151,1000,,,6741,19,43050478,859,47020,800,
14,9,Si,,,0, ,(5/2)+, ,42.3,4,ms,0.0423,0.0004,EC+B+,100, ,ECP,71,3,EC2P,3.6,0.4, , , , , ,,,,,-10556,505,16948.93,503,17712,711,1793,643,6565,22,23025440,540,23697,503,
14,11,Si,,,0, ,5/2+, ,220,3,ms,0.22,0.003,EC+B+,100, ,B+P,35,2, , , , , , , , ,-15911,401,-37564,503,-9501.44,10,12743.299,10,14989.19,22,3412.78,10,7480.11,400,25004108.801,10735,3827.324,10000,
14,13,Si,,,0, ,5/2+, ,4.15,4,s,4.15,0.04,EC+B+,100, , , , , , , , ,0.8654, ,0.063, ,-11662.044,26340,-31429,196,-9335.91,19,4812.358,117,13314.80,15,7463.32,13,8124.341,4,26986704.688,115,-12384.503,107,
